Code,Sample Text,Associated basic status code,Description,Reference,Submitter,Change Controller
X.7.13,User Account Disabled,525,"Sometimes a system administrator will have to
disable a user's account (e.g., due to lack of
payment, abuse, evidence of a break-in attempt,
etc).  This error code occurs after a successful
authentication to a disabled account.  This
informs the client that the failure is permanent
until the user contacts their system
administrator to get the account re-enabled.  It
differs from a generic authentication failure
where the client's best option is to present the
passphrase entry dialog in case the user simply
mistyped their passphrase.",[RFC5248] (Best current practice),"T. Hansen, J. Klensin",IESG
X.7.14,Trust relationship required,"535, 554","The submission server requires a configured trust
relationship with a third-party server in order
to access the message content.  This value
replaces the prior use of X.7.8 for this error
condition. thereby updating [RFC4468].",[RFC5248] (Best current practice),"T. Hansen, J. Klensin",IESG
X.7.15,Priority Level is too low,"450, 550 (other 4XX or 5XX codes are allowed)","The specified priority level is below the lowest
priority acceptable for the receiving SMTP server.  This
condition might be temporary, for example the server is
operating in a mode where only higher priority messages are
accepted for transfer and delivery, while lower priority
messages are rejected.",[RFC6710] (Standards Track),A. Melnikov,IESG
X.7.16,Message is too big for the specified priority,552 (other 4XX or 5XX codes are allowed),"The message is too big for the specified priority.
This condition might be temporary, for example the server is
operating in a mode where only higher priority messages below
certain size are accepted for transfer and delivery.",[RFC6710] (Standards Track),A. Melnikov,IESG
X.7.17,Mailbox owner has changed,5XX,This status code is returned when a message is received with a Require-Recipient-Valid-Since field or RRVS extension and the receiving system is able to determine that the intended recipient mailbox has not been under continuous ownership since the specified date-time.,[RFC7293] (Standards Track),M. Kucherawy,IESG
X.7.18,Domain owner has changed,5XX,This status code is returned when a message is received with a Require-Recipient-Valid-Since field or RRVS extension and the receiving system wishes to disclose that the owner of the domain name of the recipient has changed since the specified date-time.,[RFC7293] (Standards Track),M. Kucherawy,IESG
X.7.19,RRVS test cannot be completed,5XX,"This status code is returned when a message is
received with a Require-Recipient-Valid-Since
field or RRVS extension and the receiving
system cannot complete the requested
evaluation because the required timestamp was
not recorded.  The message originator needs to
decide whether to reissue the message without
RRVS protection.",[RFC7293] (Standards Track),M. Kucherawy,IESG
X.7.20,No passing DKIM signature found,550,"This status code is returned when a message
did not contain any passing DKIM signatures.  (This violates the
advice of Section 6.1 of [RFC6376].)",[RFC7372] (Standards Track); [RFC6376] (Standards Track),M. Kucherawy,IESG
X.7.21,No acceptable DKIM signature found,550,"This status code is returned when a message
contains one or more passing DKIM signatures,
but none are acceptable.  (This violates the
advice of Section 6.1 of [RFC6376].)",[RFC7372] (Standards Track); [RFC6376] (Standards Track),M. Kucherawy,IESG
X.7.22,No valid author-matched DKIM signature found,550,"This status code is returned when a message
contains one or more passing DKIM signatures, but none are acceptable because
none have an identifier(s) that matches the author address(es) found in
the From header field.  This is a special case of X.7.21.  (This violates the
advice of Section 6.1 of [RFC6376].)",[RFC7372] (Standards Track); [RFC6376] (Standards Track),M. Kucherawy,IESG
X.7.23,SPF validation failed,550,"This status code is returned when a message
completed an SPF check that produced a ""fail"" result, contrary to local policy
requirements.  Used in place of 5.7.1 as described in Section 8.4 of 
[RFC7208].",[RFC7372] (Standards Track); [RFC7208] (Standards Track),M. Kucherawy,IESG
X.7.24,SPF validation error,451/550,"This status code is returned when evaluation
of SPF relative to an arriving message resulted in an error.  Used in place of
4.4.3 or 5.5.2 as described in Sections 8.6 and 8.7 of 
[RFC7208].",[RFC7372] (Standards Track); [RFC7208] (Standards Track),M. Kucherawy,IESG
X.7.25,Reverse DNS validation failed,550,"This status code is returned when an SMTP
client's IP address failed a reverse DNS
validation check, contrary to local policy
requirements.","[RFC7372], Section 3.3 (Standards Track)",M. Kucherawy,IESG
X.7.26,Multiple authentication checks failed,550,"This status code is returned when a message
failed more than one message authentication
check, contrary to local policy requirements.
The particular mechanisms that failed are not
specified.",[RFC7372] (Standards Track),M. Kucherawy,IESG
X.7.27,Sender address has null MX,550,"This status code is returned when the associated
sender address has a null MX, and the SMTP
receiver is configured to reject mail from such
sender (e.g., because it could not return a DSN).",[RFC7505] (Standards Track),"J. Levine, M. Delany",IESG
X.7.28,Mail flood detected,.,The message appears to be part of a mail flood of similar abusive messages.,[draft-levine-mailbomb-header],J. Levine,standards@taugh.com
X.7.29,ARC validation failure,550,This status code may be returned when a message fails ARC validation.,[RFC8617],K. Andersen,IESG
X.7.30,REQUIRETLS support required,550,"This indicates that the message was not
        able to be forwarded because it was
        received with a REQUIRETLS requirement
        and none of the SMTP servers to which
        the message should be forwarded provide
        this support.",[RFC8689],J. Fenton,IESG
